POUND| 40| NORMAL| Physical
HYDRO PUMP| 120| WATER| Special
SURF| 95| WATER| Special
ICE BEAM| 95| ICE| Special
BLIZZARD| 120| ICE| Special
PSYBEAM| 65| PSYCHC| Special
BUBBLEBEAM| 65| WATER| Special
AURORA BEAM| 65| ICE| Special
HYPER BEAM| 150| NORMAL| Special
PECK| 35| FLYING| Physical
DRILL PECK| 80| FLYING| Physical
HIDDEN POWER| 70| PSYCHC| Special
LOW KICK| 1| FIGHT| Physical
COUNTER| 1| FIGHT| Physical
SEISMIC TOSS| 1| FIGHT| Physical
STRENGTH| 80| NORMAL| Physical
ABSORB| 20| GRASS| Special
MEGA DRAIN| 40| GRASS| Special
LEECH SEED| 0| GRASS| Status
GROWTH| 0| NORMAL| Status
RAZOR LEAF| 55| GRASS| Physical
SOLARBEAM| 120| GRASS| Special
POISONPOWDER| 0| POISON| Status
STUN SPORE| 0| GRASS| Status
SLEEP POWDER| 0| GRASS| Status
PETAL DANCE| 95| GRASS| Special
STRING SHOT| 0| BUG| Status
DRAGON RAGE| 1| DRAGON| Special
FIRE SPIN| 15| FIRE| Special
THUNDERSHOCK| 40| ELECTR| Special
THUNDERBOLT| 95| ELECTR| Special
THUNDER WAVE| 0| ELECTR| Status
THUNDER| 120| ELECTR| Special
ROCK THROW| 50| ROCK| Physical
EARTHQUAKE| 100| GROUND| Physical
EARTH POWER| 90| GROUND| Special
DIG| 80| GROUND| Physical
TOXIC| 0| POISON| Status
CONFUSION| 50| PSYCHC| Special
PSYCHIC| 90| PSYCHC| Special
HYPNOSIS| 0| PSYCHC| Status
MEDITATE| 0| PSYCHC| Status
AGILITY| 0| PSYCHC| Status
QUICK ATTACK| 40| NORMAL| Physical
RAGE| 20| NORMAL| Physical
TELEPORT| 0| PSYCHC| Status
NIGHT SHADE| 1| GHOST| Special
MIMIC| 0| NORMAL| Status
SCREECH| 0| NORMAL| Status
DOUBLE TEAM| 0| NORMAL| Status
RECOVER| 0| NORMAL| Status
HARDEN| 0| NORMAL| Status
MINIMIZE| 0| NORMAL| Status
SMOKESCREEN| 0| NORMAL| Status
CONFUSE RAY| 0| GHOST| Status
WITHDRAW| 0| WATER| Status
DEFENSE CURL| 0| NORMAL| Status
BARRIER| 0| PSYCHC| Status
LIGHT SCREEN| 0| PSYCHC| Status
HAZE| 0| ICE| Status
REFLECT| 0| PSYCHC| Status
FOCUS ENERGY| 0| NORMAL| Status
BIDE| 1| NORMAL| Physical
METRONOME| 0| NORMAL| Status
MIRROR MOVE| 0| FLYING| Status
SELFDESTRUCT| 200| NORMAL| Physical
EGG BOMB| 120| GRASS| Physical
LICK| 20| GHOST| Physical
SMOG| 20| POISON| Special
SLUDGE BOMB| 90| POISON| Special
BONE CLUB| 65| GROUND| Physical
FIRE BLAST| 120| FIRE| Special
WATERFALL| 80| WATER| Physical
CLAMP| 35| WATER| Physical
SWIFT| 60| NORMAL| Special
HEAD SMASH| 150| ROCK| Physical
HIDDEN POWER| 70| FIRE| Special
HIDDEN POWER| 70| GRASS| Special
AMNESIA| 0| PSYCHC| Status
KINESIS| 0| PSYCHC| Status
SOFTBOILED| 0| NORMAL| Status
HI JUMP KICK| 85| FIGHT| Physical
GLARE| 0| DARK| Status
DREAM EATER| 100| PSYCHC| Special
HIDDEN POWER| 70| ICE| Special
HIDDEN POWER| 70| GHOST| Special
LEECH LIFE| 40| BUG| Physical
LOVELY KISS| 0| NORMAL| Status
SKY ATTACK| 120| FLYING| Physical
TRANSFORM| 0| NORMAL| Status
BUBBLE| 20| WATER| Special
DIZZY PUNCH| 90| NORMAL| Physical
SPORE| 0| GRASS| Status
FLASH| 0| NORMAL| Special
PSYWAVE| 1| PSYCHC| Special
HIDDEN POWER| 70| WATER| Special
ACID ARMOR| 0| POISON| Status
CRABHAMMER| 120| WATER| Physical
EXPLOSION| 250| NORMAL| Physical
FURY SWIPES| 18| NORMAL| Physical
BONEMERANG| 50| GROUND| Physical
REST| 0| PSYCHC| Status
ROCK SLIDE| 75| ROCK| Physical
HYPER FANG| 80| NORMAL| Physical
HIDDEN POWER| 70| DARK| Special
CONVERSION| 0| NORMAL| Status
TRI ATTACK| 80| NORMAL| Special
SUPER FANG| 1| DARK| Physical
SLASH| 70| NORMAL| Physical
SUBSTITUTE| 0| NORMAL| Status
STRUGGLE| 50| NORMAL| Physical
SKETCH| 0| NORMAL| Status
HIDDEN POWER| 70| ROCK| Special
THIEF| 40| DARK| Physical
SPIDER WEB| 0| BUG| Status
MIND READER| 0| NORMAL| Status
NIGHTMARE| 0| GHOST| Status
FLAME WHEEL| 60| FIRE| Physical
SNORE| 60| NORMAL| Special
CURSE| 0| ???| Status
FLAIL| 1| NORMAL| Physical
CONVERSION 2| 0| NORMAL| Status
AEROBLAST| 120| FLYING| Special
HIDDEN POWER| 70| ELECTR| Special
REVERSAL| 1| FIGHT| Physical
SPITE| 0| GHOST| Status
POWDER SNOW| 40| ICE| Special
PROTECT| 0| NORMAL| Status
MACH PUNCH| 40| FIGHT| Physical
SCARY FACE| 0| NORMAL| Status
FAINT ATTACK| 60| DARK| Special
SWEET KISS| 0| NORMAL| Status
BELLY DRUM| 0| NORMAL| Status
GUNK SHOT| 120| POISON| Physical
MUD-SLAP| 20| GROUND| Special
OCTAZOOKA| 95| WATER| Special
SPIKES| 0| GROUND| Status
ZAP CANNON| 100| ELECTR| Special
FORESIGHT| 0| NORMAL| Status
DESTINY BOND| 0| GHOST| Status
PERISH SONG| 0| NORMAL| Status
ICY WIND| 55| ICE| Special
DETECT| 0| FIGHT| Status
BONE RUSH| 100| GROUND| Physical
LOCK-ON| 0| NORMAL| Status
HIDDEN POWER| 70| GROUND| Special
SANDSTORM| 0| ROCK| Status
GIGA DRAIN| 75| GRASS| Special
ENDURE| 0| NORMAL| Status
CHARM| 0| NORMAL| Status
ROLLOUT| 30| ROCK| Physical
FALSE SWIPE| 40| NORMAL| Physical
SWAGGER| 0| NORMAL| Status
MILK DRINK| 0| NORMAL| Status
WILD CHARGE| 90| ELECTR| Physical
X-SCISSORS| 80| BUG| Physical
STEEL WING| 80| STEEL| Physical
MEAN LOOK| 0| NORMAL| Status
ATTRACT| 0| NORMAL| Status
SLEEP TALK| 0| NORMAL| Status
HEAL BELL| 0| NORMAL| Status
RETURN| 103| NORMAL| Physical
PRESENT| 1| NORMAL| Physical
FRUSTRATION| 103| NORMAL| Physical
SAFEGUARD| 0| NORMAL| Status
PAIN SPLIT| 0| NORMAL| Status
SACRED FIRE| 120| FIRE| Physical
MAGNITUDE| 1| GROUND| Physical
DYNAMICPUNCH| 100| FIGHT| Physical
MEGAHORN| 120| BUG| Physical
DRAGONBREATH| 60| DRAGON| Special
BATON PASS| 0| NORMAL| Status
ENCORE| 0| NORMAL| Status
PURSUIT| 40| DARK| Physical
RAPID SPIN| 20| NORMAL| Physical
SWEET SCENT| 0| NORMAL| Status
IRON TAIL| 100| STEEL| Physical
METAL CLAW| 50| STEEL| Physical
VITAL THROW| 70| FIGHT| Physical
MORNING SUN| 0| NORMAL| Status
SYNTHESIS| 0| GRASS| Status
MOONLIGHT| 0| NORMAL| Status
HIDDEN POWER| 1| NORMAL| Special
CROSS CHOP| 100| FIGHT| Physical
TWISTER| 40| DRAGON| Special
RAIN DANCE| 0| WATER| Status
SUNNY DAY| 0| FIRE| Status
CRUNCH| 80| DARK| Physical
MIRROR COAT| 1| PSYCHC| Special
PSYCH UP| 0| NORMAL| Status
EXTREMESPEED| 100| NORMAL| Physical
ANCIENTPOWER| 80| ROCK| Special
SHADOW BALL| 80| GHOST| Special
HIDDEN POWER| 70| FIGHT| Special
ROCK SMASH| 40| FIGHT| Physical
WHIRLPOOL| 15| WATER| Special
BEAT UP| 10| DARK| Physical
FAKE OUT| 40| NORMAL| Physical
UPROAR| 50| NORMAL| Special
STOCKPILE| 0| NORMAL| Status
SPIT UP| 100| NORMAL| Special
SWALLOW| 0| NORMAL| Status
HEAT WAVE| 100| FIRE| Special
HAIL| 0| ICE| Status
TORMENT| 0| DARK| Status
FLATTER| 0| DARK| Status
WILL-O-WISP| 0| FIRE| Status
MEMENTO| 0| DARK| Status
FACADE| 70| NORMAL| Physical
FOCUS PUNCH| 150| FIGHT| Physical
SMELLINGSALT| 60| NORMAL| Physical
FOLLOW ME| 0| NORMAL| Status
NATURE POWER| 0| NORMAL| Status
CHARGE| 0| ELECTR| Status
TAUNT| 0| DARK| Status
HELPING HAND| 0| NORMAL| Status
HIDDEN POWER| 70| FLYING| Special
ROLE PLAY| 0| PSYCHC| Status
WISH| 0| NORMAL| Status
ASSIST| 0| NORMAL| Status
INGRAIN| 0| GRASS| Status
SUPERPOWER| 120| FIGHT| Physical
MAGIC COAT| 0| PSYCHC| Status
RECYCLE| 0| NORMAL| Status
REVENGE| 60| FIGHT| Physical
BRICK BREAK| 75| FIGHT| Physical
YAWN| 0| NORMAL| Status
KNOCK OFF| 20| DARK| Physical
ENDEAVOR| 1| NORMAL| Physical
DRACO METEOR| 120| DRAGON| Special
SKILL SWAP| 0| PSYCHC| Status
IMPRISON| 0| PSYCHC| Status
REFRESH| 0| NORMAL| Status
GRUDGE| 0| GHOST| Status
SNATCH| 0| DARK| Status
SECRET POWER| 70| NORMAL| Physical
DIVE| 60| WATER| Physical
FORCE PALM| 60| FIGHT| Physical
CAMOUFLAGE| 0| NORMAL| Status
TAIL GLOW| 0| BUG| Status
LUSTER PURGE| 90| PSYCHC| Special
MIST BALL| 90| PSYCHC| Special
FEATHERDANCE| 0| FLYING| Status
TEETER DANCE| 0| NORMAL| Status
BLAZE KICK| 85| FIRE| Physical
MUD SPORT| 0| GROUND| Status
ICE BALL| 30| ICE| Physical
NEEDLE ARM| 95| GRASS| Physical
SLACK OFF| 0| NORMAL| Status
HYPER VOICE| 120| NORMAL| Special
POISON FANG| 90| POISON| Physical
CRUSH CLAW| 100| NORMAL| Physical
BLAST BURN| 150| FIRE| Special
HYDRO CANNON| 150| WATER| Special
METEOR MASH| 100| STEEL| Physical
SHADOW SNEAK| 40| GHOST| Physical
WEATHER BALL| 50| NORMAL| Special
AROMATHERAPY| 0| GRASS| Status
FAKE TEARS| 0| DARK| Status
AIR SLASH| 80| FLYING| Special
OVERHEAT| 120| FIRE| Special
ODOR SLEUTH| 0| NORMAL| Status
ROCK TOMB| 55| ROCK| Physical
SILVER WIND| 60| BUG| Special
FLASH CANNON| 90| STEEL| Special
GRASSWHISTLE| 0| GRASS| Status
TICKLE| 0| NORMAL| Status
COSMIC POWER| 0| PSYCHC| Status
WATER SPOUT| 150| WATER| Special
SIGNAL BEAM| 75| BUG| Special
SHADOW PUNCH| 70| GHOST| Physical
EXTRASENSORY| 80| PSYCHC| Special
SKY UPPERCUT| 90| FIGHT| Physical
SAND TOMB| 15| GROUND| Physical
SHEER COLD| 1| ICE| Special
MUDDY WATER| 95| WATER| Special
BULLET SEED| 25| GRASS| Physical
AERIAL ACE| 60| FLYING| Physical
ICE SHARD| 40| ICE| Physical
IRON DEFENSE| 0| STEEL| Status
BLOCK| 0| NORMAL| Status
HOWL| 0| NORMAL| Status
DRAGON CLAW| 80| DRAGON| Physical
FRENZY PLANT| 150| GRASS| Special
BULK UP| 0| FIGHT| Status
BOUNCE| 85| FLYING| Physical
MUD SHOT| 55| GROUND| Special
POISON TAIL| 70| POISON| Physical
HIDDEN POWER| 70| BUG| Special
VOLT TACKLE| 120| ELECTR| Physical
MAGICAL LEAF| 60| GRASS| Special
WATER SPORT| 0| WATER| Status
CALM MIND| 0| PSYCHC| Status
LEAF BLADE| 95| GRASS| Physical
DRAGON DANCE| 0| DRAGON| Status
ROCK BLAST| 25| ROCK| Physical
SHOCK WAVE| 60| ELECTR| Special
WATER PULSE| 60| WATER| Special
DOOM DESIRE| 120| STEEL| Special
PSYCHO BOOST| 140| PSYCHC| Special
BLOOD DRAIN| 0| 80| Physical
SLEEP BITE| 0| NORMAL| Status
HYPER TACKLE| 0| 130| Physical
PARA FANG| 0| 20| Physical
AQUA TAIL| 0| 90| Physical
FIRE LASH| 0| 80| Physical
DISCHARGE| 0| 80| Special
HORN LEECH| 0| 75| Physical
WOOD HAMMER| 0| 120| Physical
DRAGON PULSE| 0| 85| Special
FLAK FIRE| 0| 40| Special
DIVING CLAW| 0| 95| Physical
SLEEPING GAS| 0| NORMAL| Status
STEEL STRIKE| 0| 70| Physical
AQUA FIST| 0| 70| Physical
PSYCHO CUT| 0| 70| Physical
SHOCKSPRAY| 0| 90| Special
GLUTTONY| 0| 120| Physical
ELECTROWEB| 0| 55| Special
DRAIN PUNCH| 0| 75| Physical
SHADE SLASH| 0| 40| Physical
ESCATON| 0| 200| Special
ACIDIC CLASH| 0| 80| Physical
FRENZY| 0| NORMAL| Status
ICICLE CRASH| 0| 85| Physical
FLINT CHIP| 0| 50| Physical
X-SCISSOR| 0| 80| Physical
DEMOLTN DASH| 0| 120| Status
DRAGONHAMMER| 0| 90| Physical
STYGPOWDER| 0| 55| Status
BLADE SHOT| 0| 25| Physical
ICE SHARD| 0| 40| Physical
CHAIN SLAM| 0| 65| Physical
| 255| 255| Physical
